Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Cluster
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,50,45.1,24.0,35.0,43.8,36.9,56.9,Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good,"(9, 6)"
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,121,18.8,2.8,11.1,17.5,12.9,29.1,Radhan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy,"(0, 0)"
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,88,31.0,7.1,19.6,35.0,16.8,33.3,Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good,"(8, 5)"
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,68,37.7,12.4,25.6,36.0,31.2,50.2,Backa Palanka,70,Moderate,1,Good,41,Good,0,Good,70,Moderate,"(1, 4)"
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,120,20.4,4.3,12.7,22.2,15.2,42.0,Zaltan,56,Moderate,1,Good,51,Moderate,0,Good,56,Moderate,"(2, 6)"
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,62,39.4,15.8,28.1,36.7,36.3,52.9,Niksic,79,Moderate,1,Good,39,Good,0,Good,79,Moderate,"(0, 4)"
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,47,45.5,13.8,30.3,43.5,42.2,75.0,Knin,48,Good,1,Good,48,Good,0,Good,35,Good,"(2, 9)"
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,67,37.9,10.6,24.8,37.6,33.1,28.7,Comendador,65,Moderate,1,Good,12,Good,6,Good,65,Moderate,"(1, 5)"
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,70,37.4,13.2,25.8,37.6,30.7,49.0,Tunceli,62,Moderate,0,Good,35,Good,0,Good,62,Moderate,"(1, 5)"
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,94,30.0,7.7,19.3,36.3,18.9,79.9,Ayer Keroh,59,Moderate,1,Good,34,Good,0,Good,59,Moderate,"(2, 5)"
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,110,26.4,8.3,17.7,25.4,24.9,51.8,Lyuban,52,Moderate,1,Good,28,Good,1,Good,52,Moderate,"(1, 6)"
82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,35,52.0,12.9,33.2,48.4,51.3,53.0,Perama,67,Moderate,1,Good,44,Good,2,Good,67,Moderate,"(5, 9)"
85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,86,31.4,22.1,27.0,37.5,20.6,11.0,Ilobu,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups,"(1, 2)"
86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,106,27.6,10.7,19.5,28.2,20.2,30.7,Ozgon,101,Unhealthy for Sensitive Groups,1,Good,60,Moderate,0,Good,101,Unhealthy for Sensitive Groups,"(1, 3)"
88,Algeria,5.211,1.002,1.16,0.785,0.086,0.073,0.114,101,28.9,3.8,16.9,36.8,14.0,29.9,Adrar,106,Unhealthy for Sensitive Groups,0,Good,45,Good,0,Good,106,Unhealthy for Sensitive Groups,"(1, 3)"
